question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36,worker37,worker38,worker39,worker40,worker41,worker42,worker43,worker44,worker45,worker46,worker47,worker48,worker49,worker50
1,D,A,A,E,E,A,A,E,A,D,B,D,B,A,E,A,D,A,B,E,A,E,E,D,B,A,A,A,E,A,D,E,E,A,A,A,D,A,A,A,E,A,C,B,C,D,B,D,D,E
2,A,A,C,C,A,A,A,D,A,D,D,E,A,A,C,D,E,D,A,E,D,A,E,A,D,A,C,D,D,C,D,D,A,A,D,D,E,D,E,D,E,E,B,B,A,A,D,D,D,C
3,A,C,D,D,C,D,D,D,D,D,D,E,D,D,B,D,D,D,D,D,D,D,D,A,E,A,D,D,D,B,D,D,D,E,D,D,A,D,D,D,A,D,C,E,E,D,D,D,D,C
4,B,C,B,A,E,A,B,A,B,E,B,C,C,B,B,D,B,B,C,D,B,E,B,E,E,A,C,E,B,C,E,B,C,A,B,B,C,E,D,A,E,A,D,A,A,E,B,C,C,B
5,B,D,D,E,D,E,E,E,D,E,E,E,E,C,E,E,E,E,C,A,B,B,E,C,E,E,E,E,E,E,D,E,C,E,E,E,D,C,E,D,E,D,E,D,B,E,E,B,E,C
6,A,C,C,B,C,A,C,A,B,A,C,A,C,A,B,A,C,C,A,C,A,A,A,C,A,A,C,A,A,C,B,A,E,B,B,C,E,A,A,A,E,A,B,B,C,A,C,B,A,E
7,A,D,C,B,B,A,A,B,A,A,A,C,E,C,E,D,A,A,C,E,C,C,B,A,C,B,B,C,A,E,C,B,E,E,C,E,E,B,E,B,A,C,A,D,A,C,A,E,C,B
8,E,D,E,E,B,E,A,D,A,E,B,E,C,E,E,E,A,C,E,C,E,A,C,C,E,E,E,E,C,D,E,E,D,E,E,C,B,A,E,B,A,E,C,C,A,B,E,A,D,B
9,D,C,A,A,C,E,A,B,B,C,D,B,A,A,B,A,D,A,B,B,D,B,D,C,A,E,E,D,E,D,C,A,C,D,B,E,B,D,A,D,C,A,A,D,E,D,B,D,B,A
10,D,B,A,B,E,B,D,E,B,D,B,D,B,B,E,B,B,D,B,B,B,B,A,D,A,B,B,D,B,B,D,E,B,B,B,B,D,B,B,C,B,D,C,E,E,E,D,D,B,D
11,A,D,A,D,C,D,B,A,D,C,D,A,B,B,B,E,E,A,C,D,B,B,D,B,C,D,C,B,D,D,D,B,C,A,D,C,B,D,A,C,A,B,C,B,B,B,C,E,B,B
12,B,D,E,B,A,E,A,A,C,A,B,C,A,B,B,D,A,D,D,D,A,B,C,C,E,D,B,C,A,C,E,C,D,E,B,A,E,A,C,E,A,A,C,A,D,C,D,D,C,B
13,E,A,E,E,B,E,D,B,E,C,E,D,E,E,B,B,E,E,E,D,E,B,D,C,E,E,E,E,E,D,E,A,D,E,E,E,D,E,B,E,D,B,A,B,D,B,B,E,E,A
14,D,D,D,D,A,D,E,A,B,D,D,B,D,D,B,D,D,A,B,D,D,D,D,D,A,D,D,D,B,D,A,D,B,D,D,D,B,D,D,E,D,E,D,D,C,A,D,A,B,D
15,D,D,A,A,E,A,C,A,A,A,C,D,A,D,C,A,D,A,B,A,A,A,A,A,B,B,A,A,A,A,A,B,D,D,A,A,C,D,E,B,A,A,A,C,B,A,B,D,B,D
16,E,A,D,D,E,D,A,E,D,E,B,D,C,D,D,E,D,E,E,C,A,D,B,A,A,D,A,D,D,D,A,E,E,D,E,D,A,D,E,A,E,B,E,C,A,E,D,D,D,E
17,C,E,C,C,C,C,D,B,D,D,C,D,D,B,C,D,C,C,C,C,D,D,C,E,D,D,D,C,C,C,D,B,D,D,C,C,A,C,A,D,D,A,C,B,C,D,A,D,D,E
18,D,D,A,A,D,C,A,A,A,A,B,D,D,A,A,A,A,E,D,C,E,A,E,C,D,A,A,A,A,A,D,A,D,E,A,A,A,A,A,B,D,D,D,C,A,A,A,E,A,C
19,A,B,E,E,D,E,E,E,E,E,B,A,C,A,C,E,E,E,E,A,A,A,E,A,E,E,A,D,E,E,E,A,A,B,A,E,A,D,C,C,B,A,A,A,B,C,B,E,A,E
20,C,E,B,E,A,E,B,E,E,E,A,D,D,E,E,C,C,B,D,D,B,E,B,B,A,A,A,D,B,D,E,E,C,A,B,D,D,A,E,C,A,C,A,A,B,D,E,B,D,E
21,D,D,A,C,E,E,A,B,D,E,E,A,C,D,E,D,D,C,B,C,D,E,C,A,A,A,D,A,C,B,C,C,C,E,B,C,C,B,C,B,D,A,C,D,D,C,A,E,E,A
22,A,B,E,B,E,B,C,A,C,A,C,E,E,C,B,C,B,B,E,E,C,A,E,A,B,C,B,B,B,E,C,E,C,C,C,B,E,E,C,B,A,C,A,E,D,C,C,B,C,B
23,C,E,A,A,D,E,A,A,A,E,A,B,D,A,E,A,E,D,A,E,D,A,B,A,D,A,E,A,D,E,E,E,D,E,A,A,E,E,E,C,A,C,C,E,B,E,A,E,D,E
24,E,E,E,E,B,E,E,E,E,E,E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,B,E,E,E,E,E,A,E,E,E,E,E,A,A,D,E,E,E,E,D
