question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36,worker37,worker38,worker39,worker40,worker41,worker42,worker43,worker44,worker45,worker46,worker47,worker48,worker49,worker50,worker51,worker52,worker53,worker54,worker55,worker56,worker57,worker58,worker59,worker60,worker61,worker62,worker63
1,E,A,E,A,E,D,E,E,D,D,B,E,E,A,A,C,D,D,E,A,C,C,C,A,E,D,E,E,E,A,C,A,C,E,B,D,A,C,C,A,C,C,C,E,C,C,A,C,E,E,E,B,E,C,B,B,E,E,E,D,C,C,C
2,B,A,B,B,E,E,B,E,B,D,B,C,C,E,C,B,C,E,E,C,C,D,B,D,B,E,C,E,E,C,E,C,C,B,E,D,E,D,C,E,E,E,B,B,A,D,A,B,C,A,E,C,E,D,D,E,A,E,D,A,C,A,D
3,D,D,D,D,B,A,E,B,C,B,E,D,E,A,B,B,D,D,A,C,A,B,B,A,B,B,B,D,E,D,A,D,D,B,A,D,A,E,D,B,B,D,B,E,C,B,D,E,B,A,B,D,B,A,A,B,E,D,E,C,D,B,B
4,E,B,E,E,B,B,E,C,D,C,E,C,E,C,E,E,D,A,E,E,C,E,A,E,E,B,E,A,D,A,B,B,D,E,E,D,D,E,D,A,D,B,C,E,E,A,B,B,C,D,D,B,B,B,D,C,E,E,E,D,D,A,E
5,A,E,A,B,C,C,A,D,B,E,B,A,D,E,E,B,E,D,C,C,B,A,B,B,D,B,B,C,E,E,B,E,B,B,B,C,A,E,A,B,D,E,C,D,B,A,A,B,A,B,C,D,E,B,D,E,C,B,C,D,A,E,A
6,A,B,C,A,A,A,D,E,D,A,D,D,C,B,A,A,B,C,E,D,D,D,A,A,B,C,D,D,B,B,E,C,B,E,C,D,C,D,A,E,C,E,C,B,B,D,B,A,B,B,B,C,A,E,A,D,D,A,E,C,B,C,E
7,E,D,A,E,D,D,A,E,D,B,D,B,D,C,E,A,B,C,C,B,C,E,A,C,E,A,E,D,C,D,C,E,E,B,C,B,C,C,B,D,E,C,A,C,C,C,B,C,D,B,C,E,D,A,D,B,D,D,D,D,B,C,B
8,B,A,A,C,B,B,C,C,D,A,C,B,B,B,B,B,A,B,B,C,C,C,D,A,B,B,C,B,B,A,A,A,B,B,B,B,A,E,C,E,B,A,C,E,A,B,B,C,B,A,D,D,E,D,B,B,D,B,A,C,A,A,B
9,A,D,B,A,C,D,B,A,C,E,B,A,B,C,C,D,A,A,E,A,C,A,A,D,D,E,C,A,C,E,A,E,C,A,A,A,A,A,E,C,B,C,A,E,A,E,A,B,C,C,D,E,A,B,B,D,E,A,E,D,A,A,B
10,E,A,C,A,E,E,B,E,E,D,E,B,A,B,E,A,B,C,A,D,A,B,C,A,C,B,E,E,B,B,D,A,D,D,E,B,A,A,E,C,A,A,D,E,B,B,C,C,A,A,A,B,A,D,B,C,D,E,A,E,E,B,D
11,C,D,B,B,C,C,A,C,C,D,B,D,E,C,D,C,E,B,C,C,B,B,B,D,C,A,A,C,A,B,A,A,C,C,C,C,A,A,C,C,D,B,A,B,E,A,C,A,B,A,E,D,B,E,B,C,E,C,E,C,A,B,D
12,E,E,C,C,A,A,B,E,C,E,B,A,C,B,A,C,D,A,B,A,E,E,C,A,E,A,B,C,D,B,B,C,D,E,A,C,A,B,E,B,D,A,A,B,B,C,E,E,C,E,C,A,B,C,B,C,A,E,B,B,C,C,B
13,E,E,E,B,E,A,E,E,C,B,C,C,E,E,B,D,C,D,D,A,E,C,A,C,E,E,B,C,E,B,B,A,E,E,D,E,E,C,C,E,C,B,C,D,B,B,E,E,D,E,C,E,C,C,E,A,B,E,A,D,E,D,E
