question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36
1,C,D,D,C,B,C,D,A,C,A,C,D,C,C,C,C,D,C,C,D,C,C,A,A,C,D,C,C,D,C,B,D,A,D,D,B
2,A,A,C,C,B,B,D,D,A,C,A,C,A,A,A,C,A,B,B,A,A,A,B,A,C,A,A,B,B,A,A,C,A,D,C,B
3,B,D,D,D,C,D,B,D,A,D,B,B,B,A,B,A,A,B,D,D,B,D,B,A,D,B,B,B,D,A,A,D,D,D,D,D
4,B,C,D,B,D,A,B,B,C,B,B,C,B,B,B,D,C,A,B,D,B,B,B,D,B,C,A,C,A,B,C,B,A,B,B,B
5,B,A,D,A,C,D,B,D,B,C,D,B,A,A,D,D,B,B,B,D,A,D,B,B,B,B,B,B,B,A,A,A,B,C,B,B
6,B,C,B,A,B,D,B,C,B,D,C,C,C,D,D,B,B,B,D,D,B,C,B,C,B,B,A,D,B,B,D,B,B,B,B,B
7,B,A,B,C,D,A,B,C,B,C,C,B,B,D,D,B,D,B,A,B,B,A,C,A,B,B,D,C,A,B,A,D,B,C,B,B
8,C,C,C,B,C,B,C,C,C,C,C,C,D,C,C,A,C,B,C,D,C,C,C,D,C,C,D,C,C,C,B,A,B,C,C,C
9,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C
10,B,B,B,B,B,D,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,C,A,B,B,B
11,D,A,D,D,B,C,D,D,A,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,D,D,D
12,C,C,C,C,C,D,C,C,C,B,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
13,B,D,B,A,B,B,B,D,B,B,B,B,C,B,A,C,B,B,D,B,B,B,B,A,B,B,D,B,C,B,C,B,C,B,B,A
14,B,B,B,B,A,C,B,B,B,C,B,B,C,B,B,A,B,B,B,B,B,A,C,A,B,B,B,B,C,C,C,B,C,B,B,B
15,A,C,B,A,B,C,A,A,B,C,A,C,A,B,A,A,C,D,B,B,C,A,A,C,A,A,C,B,B,B,C,B,B,C,B,D
16,B,B,B,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,A,B,C,C,D,A,B,B
17,B,A,C,C,C,B,B,B,B,A,C,A,B,C,C,B,A,C,A,B,B,B,B,A,C,C,C,C,C,C,B,C,B,D,A,C
18,B,B,B,C,B,C,B,B,B,B,B,C,B,B,B,C,B,B,C,B,B,B,B,D,B,B,B,B,D,B,D,D,D,B,B,B
19,C,C,B,B,A,B,C,B,B,C,C,B,A,C,A,C,C,C,A,C,C,A,B,B,C,B,C,B,D,C,C,A,A,B,C,B
20,C,A,A,A,D,A,A,A,C,B,B,C,D,A,C,A,C,C,C,D,C,A,D,A,D,D,D,C,A,B,B,A,A,B,B,A
21,B,A,A,B,D,C,C,D,D,A,C,C,B,A,B,A,D,B,B,D,B,A,B,A,C,B,C,D,C,C,C,B,D,B,C,C
22,C,C,C,C,D,C,C,A,D,C,C,C,C,C,C,C,B,C,D,B,C,C,C,C,C,C,D,C,C,A,D,D,A,D,C,C
23,D,B,D,D,C,A,D,D,D,A,C,A,D,B,D,C,C,D,C,D,B,C,D,C,D,D,D,D,C,A,C,C,C,C,D,A
24,B,C,C,D,B,B,B,B,C,B,B,C,C,C,C,C,B,B,C,B,C,B,C,C,B,C,C,C,B,B,B,B,C,B,B,C
25,C,B,C,B,C,C,C,A,D,B,C,B,B,C,C,C,B,B,D,B,C,C,D,A,C,C,D,B,D,C,C,A,C,B,D,B
