,question,A,B,C,D,truth
1,情報システム戦略の立案において、情報システムのあるべき姿を明確にするために、対象業務をモデル化したものはどれか。,ウォータフォールモデル,スパイラルモデル,ビジネスプロセスモデル,プロトタイピングモデル,C
2,既存の組織やビジネスルールを抜本的に見直し、職務、業務フロー、管理機構、情報システムを再設計するという考え方はどれか。,BPR,ERP,RFP,SLA,A
3,インターネット経由でアプリケーション機能を提供するもので、一つのシステムを複数の企業で利用するマルチテナント方式が特徴であるサービスはどれか。,ISP（Internet Service Provider）,SaaS（Software as a Service）,ハウジングサービス,ホスティングサービス,B
4,情報リテラシを説明したものはどれか。,PC保有の有無などによって、情報技術をもつ者ともたない者との間に生じる、情報化が生む経済格差のことである。,PCを利用して、情報の整理・蓄積や分析などを行ったり、インターネットなどを使って情報を収集・発信したりする、情報を取り扱う能力のことである。,企業が競争優位を構築するために、IT戦略の策定・実行をガイドし、あるべき方向へ導く組織能力のことである。,情報通信機器やソフトウェア、情報サービスなどを、障害者・高齢者などすべての人が利用可能であるかを表す度合いのことである。,B
5,システム化の立案に含まれる作業はどれか。,機能要件の定義,システム要件の定義,ソフトウェア要件の定義,全体開発スケジュールの検討,D
6,ソフトウェアやサービスの取引契約内容の不透明さを取り除くために、発注者が提案依頼書に記載すべき項目はどれか。,開発工数,システムの基本方針,プログラム仕様書,見積金額,B
7,要件定義、システム設計、プログラミング、テストをこの順番で実施し、次工程からの手戻りが発生しないように、各工程が終了する際に厳密にチェックを行うという進め方をとるソフトウェア開発モデルはどれか。,RAD（Rapid Application Development）,ウォーターフォールモデル,スパイラルモデル,プロトタイピングモデル,B
8,システム開発などを行うために、必要な技術や経験の保有者を各部署から選抜して適宜構成する組織はどれか。,事業部制組織,職能別組織,プロジェクト組織,マトリックス組織,C
9,市販の風景写真集に対して著作者の許可を得ることなく行った行為のうち、著作権法に照らして違法となるものはどれか。,気に入った写真と同じ対象の写真を撮る。,掲載されている写真を切り抜き自室の壁に貼る。,掲載されている写真を自分のWebページに掲載、公開する。,自分のブログで写真集の感想を記述する。,C
10,不正アクセス禁止法において、不正アクセスと呼ばれている行為はどれか。,共有サーバにアクセスし、ソフトウェアパッケージを無断で違法コピーする。,他人のパスワードを使って、インターネット経由でコンピュータにアクセスする。,他人を中傷する文章をインターネット上に掲載し、アクセスを可能にする。,わいせつな画像を掲載しているホームページにアクセスする。,B
