question_id,worker1,worker2,worker3,worker4,worker5,worker6,worker7,worker8,worker9,worker10,worker11,worker12,worker13,worker14,worker15,worker16,worker17,worker18,worker19,worker20,worker21,worker22,worker23,worker24,worker25,worker26,worker27,worker28,worker29,worker30,worker31,worker32,worker33,worker34,worker35,worker36,worker37,worker38,worker39,worker40,worker41,worker42,worker43,worker44,worker45
1,B,A,A,D,D,A,B,C,A,C,A,A,A,A,B,B,D,C,B,A,B,B,A,A,B,A,D,D,B,A,A,C,A,A,C,D,A,B,B,B,D,D,B,A,A
2,B,B,A,B,D,A,D,B,B,B,B,B,B,B,D,D,B,B,B,B,B,B,B,A,A,D,A,B,D,A,B,D,B,B,B,B,A,C,D,A,B,A,D,B,D
3,A,C,C,C,A,D,C,C,C,D,C,C,C,C,C,C,D,D,A,D,C,C,D,C,C,C,C,C,C,A,C,C,B,C,C,D,C,D,A,C,A,A,C,C,C
4,B,B,D,D,A,D,B,A,D,C,A,C,B,B,B,C,B,D,B,B,B,B,B,B,B,B,D,D,B,B,C,B,C,B,D,C,B,B,B,A,A,B,D,A,B
5,B,C,D,A,B,C,A,D,D,A,B,A,C,B,C,B,A,A,B,C,B,B,B,A,B,B,D,C,B,A,B,B,C,B,C,C,B,B,D,C,A,B,D,B,B
6,C,C,B,C,B,C,B,D,C,B,C,B,B,C,C,D,D,C,C,B,C,C,C,C,C,C,D,B,C,C,D,C,A,C,D,D,A,C,C,B,B,D,C,C,D
7,B,D,A,B,D,D,B,D,A,B,B,B,C,A,B,D,C,B,B,B,B,B,B,B,B,B,D,C,D,C,D,B,C,B,C,D,A,C,B,B,D,A,B,C,B
8,C,C,D,A,C,A,C,D,D,B,D,C,C,C,C,D,A,C,C,A,C,A,C,C,C,C,C,C,C,C,C,C,D,C,A,A,C,D,C,A,C,A,A,C,C
9,C,C,A,C,C,C,C,D,C,A,A,C,C,A,C,A,D,C,C,C,C,A,C,C,A,C,B,A,C,C,C,C,C,C,D,C,A,C,D,A,D,D,A,A,C
10,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,A,A,D,B,D
11,B,A,D,D,D,C,B,D,B,D,B,B,D,A,B,D,D,A,B,D,A,B,D,D,B,B,A,A,B,D,D,B,D,B,B,D,D,C,C,C,A,C,A,D,B
12,C,A,D,D,B,C,D,D,D,D,D,C,C,D,C,D,C,D,C,B,C,C,C,D,D,C,C,D,C,D,C,D,D,D,D,C,A,C,C,C,A,B,D,C,D
13,C,C,D,B,A,C,B,A,A,A,C,D,B,C,A,B,B,D,D,B,D,D,B,D,D,B,C,B,D,C,B,B,B,D,C,C,B,C,C,B,B,A,B,B,D
14,A,B,A,A,C,C,A,A,A,A,A,A,C,A,D,C,A,A,A,A,A,A,C,A,A,A,C,A,C,A,A,A,C,C,B,C,C,C,C,D,C,A,A,A,A
15,D,B,A,B,C,A,B,D,B,D,A,D,A,A,B,B,A,D,A,D,A,A,D,A,A,A,B,D,A,B,A,A,D,B,A,A,A,D,A,A,D,B,A,D,A
16,D,A,D,A,D,D,B,A,D,D,D,D,D,B,B,D,D,A,B,B,D,B,D,A,B,A,D,D,B,A,D,B,A,B,A,B,A,A,B,A,D,C,A,D,B
17,B,D,C,C,C,C,C,D,C,B,D,B,B,D,B,B,C,C,B,D,D,A,D,A,B,B,B,D,B,A,B,B,D,B,C,D,A,D,B,B,B,C,B,D,B
18,C,C,B,B,B,D,A,C,D,D,C,D,C,A,B,C,D,B,A,A,D,D,C,B,A,B,D,D,A,A,B,A,D,A,B,C,B,B,A,B,C,A,B,C,A
19,D,D,D,D,D,D,D,A,D,C,C,D,D,D,D,D,C,D,D,C,D,D,D,D,D,D,D,D,D,A,C,D,C,D,A,D,D,A,C,D,D,B,D,D,D
20,A,C,B,A,A,A,D,C,A,B,C,A,A,D,C,C,A,A,D,A,A,D,A,A,C,C,D,A,D,B,C,C,C,A,B,C,A,A,C,A,C,B,D,A,A
21,A,B,C,C,A,B,B,D,B,A,D,C,C,A,B,B,B,D,A,B,B,B,B,D,B,B,B,A,B,B,B,B,A,B,A,B,C,A,B,B,D,A,B,B,B
22,D,B,D,A,A,A,C,D,D,B,B,C,A,C,C,D,C,A,C,C,C,C,C,A,C,B,C,D,C,C,C,C,D,B,C,C,C,B,D,A,B,A,C,A,C
23,B,B,D,B,B,A,B,B,C,A,C,B,D,B,A,C,D,B,B,B,B,B,C,B,B,B,B,B,B,A,D,B,B,B,B,B,B,B,B,D,C,B,B,C,B
24,D,D,A,C,A,A,D,A,D,A,A,C,D,A,D,D,D,C,A,D,D,D,D,D,D,D,A,A,D,A,D,D,C,A,A,D,A,D,A,A,A,A,D,D,D
25,D,D,A,D,A,C,B,D,D,A,C,D,C,A,B,B,A,A,A,A,D,A,A,A,A,A,B,A,A,A,D,D,D,A,B,A,C,A,A,A,A,D,A,D,A
26,B,D,B,D,B,C,D,A,D,D,C,D,D,D,D,A,A,B,D,B,B,D,D,D,D,A,D,B,D,D,D,B,B,D,A,B,D,D,A,D,B,B,D,B,B
27,C,B,B,B,D,C,D,D,C,C,B,A,B,B,C,B,B,B,C,B,B,C,C,C,C,C,D,C,C,B,D,C,C,A,C,A,C,D,C,B,C,D,A,C,C
28,B,B,D,D,A,B,B,A,D,A,D,C,B,A,C,A,C,A,A,A,A,C,A,D,A,D,C,C,A,A,C,D,C,D,C,A,A,B,B,C,A,C,C,C,A
29,C,A,C,A,B,B,C,C,C,C,D,C,C,D,C,A,A,D,C,B,A,C,B,C,C,B,D,D,C,A,D,C,A,D,D,D,B,A,C,D,B,A,D,D,C
30,B,C,B,C,A,B,B,B,D,B,A,D,B,C,B,A,D,D,B,A,A,D,D,D,B,D,C,D,B,D,A,B,D,D,D,D,D,C,D,D,A,A,D,A,B
31,D,C,A,C,A,C,A,C,C,A,B,D,C,A,A,B,B,C,A,A,C,D,B,C,C,A,B,A,C,A,C,C,C,A,C,C,C,A,C,B,B,C,C,A,C
32,D,C,C,C,C,C,D,C,D,B,C,B,C,C,D,C,C,C,B,C,C,B,D,C,D,C,C,C,C,C,D,D,C,C,C,D,C,C,D,C,C,C,D,C,D
33,D,D,D,C,B,D,C,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,C,D,D,D,D,D,B,D,D,D
34,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,D,C,C,C,C,C,C,C,A,B,C,C,C
35,D,A,D,A,C,D,D,D,A,D,A,A,A,D,D,A,D,D,D,C,A,D,A,A,D,A,A,A,A,A,D,A,A,D,A,D,C,A,A,A,B,D,D,A,D
36,B,D,A,A,A,A,A,B,C,C,B,A,A,D,C,B,C,D,C,A,A,B,C,A,C,A,B,D,B,A,A,B,A,A,A,A,A,A,C,B,A,D,C,C,C
