,question,A,B,C,D,truth
1,抗ウイルス薬はどれか。,ペニシリン,アシクロビル,エリスロマイシン,アンホテリシンＢ,B
2,抗癌薬による骨髄機能抑制症状はどれか。,嘔    吐,脱    毛,下    痢,歯肉出血,D
3,骨髄抑制が出現するのはどれか。,麻　薬,利尿薬,抗癌薬,インスリン製剤,C
4,ジゴキシンの主な有害な作用はどれか。,振    戦,不整脈,聴覚障害,満月様顔貌〈ムーンフェイス〉,B
5,ジギタリスの副作用はどれか。,難　聴,悪　心,易感染,満月様顔貌,B
6,ジギタリス中毒の症状はどれか。,脱　毛,難　聴,不整脈,呼吸抑制,C
7,ジギタリスの作用はどれか。,鎮痛作用,強心作用,抗菌作用,造血作用,B
8,ニトログリセリンの副作用はどれか。,多    尿,易感染,血圧の低下,消化管からの出血,C
9,ニトログリセリンの作用はどれか。,昇　圧,造　血,血管拡張,免疫抑制,C
10,狭心症発作時に使用するのはどれか。,アスピリン,テオフィリン,リン酸コデイン,ニトログリセリン,D
11,狭心症発作時の硝酸薬（ニトログリセリン）の適切な使用法はどれか。,内　服,舌　下,皮膚貼用,筋肉内注射,B
12,昇圧作用があるのはどれか。,インスリン,ワルファリン,アドレナリン,ニトログリセリン,C
13,長期間の使用によって満月様顔貌〈ムーンフェイス〉をきたすのはどれか。,ヘパリン,インスリン,テオフィリン,プレドニゾロン,D
14,副腎皮質ステロイドの作用はどれか。,炎症の抑制,食欲の抑制,免疫の促進,血糖の低下,A
15,副腎皮質ステロイド薬の長期投与による有害作用はどれか。,骨粗鬆症,血圧低下,聴力障害,低血糖,A
16,インスリン製剤に使用される単位はどれか。,モル（mol）,単位（Ｕ）,キロカロリー（kcal）,マイクログラム（μg）,B
17,インスリン自己注射の投与経路はどれか。,皮　内,皮　下,筋肉内,静脈内,B
18,インスリン製剤の投与量を表すのはどれか。,単　位（U）,モ　ル（mol）,マイクログラム（μg）,ミリグラム当量（mEq）,A
19,医療機関における麻薬の取り扱いについて正しいのはどれか。,麻薬と毒薬は一緒に保管する。,麻薬注射液は複数の患者に分割して用いる。,使用して残った麻薬注射液は病棟で廃棄する。,麻薬注射液の使用後のアンプルは麻薬管理責任者に返却する。,D
20,麻薬性鎮痛薬の副作用はどれか。,心悸亢進,食欲の亢進,腸蠕動の抑制,骨髄機能の抑制,C
21,モルヒネの副作用はどれか。,骨髄抑制,呼吸抑制,聴力低下,満月様顔貌,B
22,抗血小板作用と抗炎症作用があるのはどれか。,ヘパリン,アルブミン,アスピリン,ワルファリン,C
23,副作用（有害事象）として低血糖症状を起こす可能性があるのはどれか。,ジゴキシン,インスリン,フェニトイン,ワルファリン,B
24,抗癌薬の副作用（有害事象）である骨髄抑制を示しているのはどれか。,嘔　吐,下　痢,神経障害,白血球減少,D
25,貼付剤として用いられる薬剤はどれか。,フェンタニル,リン酸コデイン,モルヒネ塩酸塩,オキシコドン塩酸塩,A
26,無尿時に、原則として投与が禁忌なのはどれか。,マグネシウム,ナトリウム,クロール,カリウム,D
27,15％塩化カリウム注射液原液の静脈内投与で起こり得るのはどれか。,無    尿,発    熱,心停止,骨髄抑制,C
28,緑内障で禁忌なのはどれか。,アトロピン,インスリン,フロセミド,ジゴキシン,A
29,出血傾向のある患者に禁忌なのはどれか。,ペニシリン,インスリン,ワルファリン,プレドニゾロン,C
30,ワルファリンカリウム服用時に避けた方がよい食品はどれか。,緑　茶,納　豆,チーズ,グレープフルーツ,B
31,１モル塩化カリウム注射液で誤っているのはどれか。,乏尿と無尿時には禁忌である。,希釈し点滴静脈内注射を行う。,原液（１モル）で静脈内注射を行う。,副作用に心臓伝導障害がある。,C
32,冷凍保存する血液製剤はどれか。,アルブミン,グロブリン,血小板,血    漿,D
33,鍵のかかる堅固な設備で保管しなければならないのはどれか。,ヘパリン,インスリン,風疹ワクチン,モルヒネ塩酸塩,D
34,鍵をかけて保管しなければならない薬剤はどれか。,ヘパリンナトリウム,風疹ワクチン,塩酸モルヒネ,インスリン,C
35,医薬品に関する禁忌を示すことが定められているのはどれか。,処方箋,診断書,看護記録,添付文書,D
36,血中濃度を確認する必要性が最も高い医薬品はどれか。,アスピリン,フロセミド,テオフィリン,インドメタシン,C
