question_id,217murakami,30style,GodIssa,amadare1,amito,auron0305,bvglp11,cubebox,emerald_seven,enckado,enokize,frontup,gabishi,good_luck_man,haes,honyarara,kazbongo0103,keitagiants26_dowluck,ken645,kgrpx,kusamakura,lcsyypb77_240,marble00,mash_4416,mmm07r,mudashi,noeei,o-aki,oneman,ongos,orion88,pecchan,rshiki79,rurusieru,sanzou_masa,sho-yut0,silvia40,stonewood,syaym0405,t-o-m-i--,tamori,tanukicatman,task-1,tokumei3578,tomatosouprecipe,u-pon-ya5,umi_888,uminomo,uni-7188,wataru6616,you79,ysdk,yswidsom2,yukieken4536,zlk4698hah58gfki
1,B,D,E,A,C,B,E,A,F,A,A,E,A,E,C,F,E,D,C,E,B,B,B,C,A,A,B,C,D,E,D,F,A,C,A,A,C,C,E,D,C,A,D,E,E,B,A,F,C,A,F,B,A,B,B
2,F,B,B,C,E,C,F,F,A,F,F,C,D,F,C,F,A,D,C,A,E,C,A,D,D,F,A,F,D,D,E,D,D,D,B,F,B,A,C,B,E,E,B,E,C,E,D,B,F,F,D,D,F,A,B
3,E,C,C,F,A,A,B,E,F,A,E,D,A,D,B,D,A,C,C,A,C,A,A,D,C,E,C,E,D,A,D,C,E,E,E,B,E,D,A,E,F,D,C,A,D,A,B,A,E,E,D,A,E,C,A
4,B,C,D,C,B,B,C,E,A,E,E,F,D,D,F,E,C,D,B,F,D,C,C,E,E,E,D,D,B,C,F,E,A,C,E,E,D,A,A,C,E,C,E,E,D,C,B,B,D,D,E,D,E,A,E
5,F,A,C,E,F,D,E,B,E,D,B,D,E,A,B,F,A,E,A,B,B,E,A,D,D,B,B,D,A,E,B,E,F,F,F,B,A,D,B,C,B,E,E,E,A,F,A,F,B,B,D,A,B,F,E
6,E,D,D,E,E,F,A,E,B,E,E,B,F,C,B,C,B,C,A,C,C,B,E,B,C,E,C,C,B,A,A,A,D,F,A,E,F,A,B,F,E,D,D,B,E,E,A,A,B,E,B,D,E,A,E
7,A,C,C,D,A,C,C,A,F,A,A,B,E,B,C,A,B,E,C,A,C,C,E,E,D,A,D,A,C,C,B,C,C,B,F,A,C,E,C,C,E,E,A,C,F,F,C,E,A,A,F,E,C,C,D
8,B,B,F,B,C,B,C,B,C,A,B,D,E,C,C,F,A,C,E,E,B,F,D,F,E,B,D,B,C,B,F,F,F,E,B,B,B,D,D,D,E,C,C,A,C,F,F,E,B,B,C,A,B,A,B
9,F,D,A,C,A,E,F,D,B,D,D,E,C,A,A,F,B,C,F,C,C,F,F,A,D,D,D,B,F,D,D,F,F,C,A,D,B,B,B,D,C,D,C,C,C,E,E,E,C,D,C,B,D,A,C
10,B,E,B,A,C,B,E,D,C,D,D,B,E,E,D,A,A,C,B,E,B,B,F,B,D,D,A,F,E,E,A,C,B,D,E,D,C,F,E,E,F,E,E,C,C,E,D,B,F,D,A,B,D,A,D
11,B,B,C,C,D,D,A,D,B,D,D,B,F,E,F,E,D,A,A,A,D,B,D,E,D,D,D,D,B,C,A,A,D,C,D,D,A,F,D,B,C,D,B,D,A,B,C,A,D,D,D,E,D,F,F
12,C,A,B,A,A,A,F,A,D,A,A,C,D,A,D,F,D,E,A,F,E,E,A,C,A,A,F,E,C,D,B,F,F,A,A,A,D,C,A,B,C,A,B,F,A,B,F,C,D,A,A,F,A,B,E
13,D,A,F,B,B,B,D,A,E,A,B,D,A,F,E,B,F,D,B,B,A,B,A,D,A,A,A,D,C,B,E,A,B,D,A,A,E,A,B,F,B,D,F,C,D,F,B,E,B,D,A,D,A,F,C
14,C,D,D,B,F,A,F,D,F,D,D,F,F,D,D,C,C,E,F,F,F,E,F,F,C,D,E,E,A,F,E,C,C,F,F,D,A,B,C,D,D,C,D,C,F,A,E,F,F,F,F,D,D,C,F
15,A,C,D,C,F,D,D,F,E,F,F,A,E,E,D,A,D,A,F,F,A,A,A,D,C,F,A,B,A,A,E,D,B,E,E,F,B,C,A,E,A,D,A,A,A,E,B,E,B,B,F,A,B,F,A
16,F,E,B,B,B,A,B,D,B,B,C,D,D,F,F,B,B,D,A,C,A,D,D,D,D,D,B,D,B,B,C,F,D,E,D,D,C,F,D,B,C,C,B,B,C,D,D,D,B,D,C,D,D,B,D
17,A,D,E,D,C,A,A,D,E,A,D,D,A,E,B,C,A,A,A,A,A,B,B,A,D,D,E,E,B,B,D,D,A,F,D,D,E,A,E,C,F,E,C,F,F,A,C,B,A,C,B,F,D,D,A
18,B,E,F,E,E,D,D,B,C,E,B,B,D,B,E,D,D,E,C,B,B,B,B,F,B,B,B,E,E,A,F,B,C,E,B,B,F,F,C,A,B,B,A,D,C,E,F,E,B,B,D,E,B,F,B
19,B,A,E,E,F,E,E,F,A,B,F,D,A,E,D,E,B,F,E,E,E,A,A,F,F,F,F,A,F,C,D,A,F,A,E,F,B,A,B,A,E,F,E,A,B,B,C,B,C,D,F,C,F,B,F
20,D,F,F,F,D,D,D,E,F,D,E,D,F,F,F,D,C,F,C,A,A,F,F,A,E,E,F,A,F,C,F,A,C,F,E,E,C,E,C,E,D,C,C,C,B,C,D,E,E,E,F,C,E,A,A
