,question,A,B,C,D,E,F,truth
1,Ivysaur,フシギソウ,アズマオウ,ベトベター,カイリキー,サンダー,イシツブテ,A
2,Venusaur,コイキング,ゴローン,ナッシー,ラフレシア,ヒトデマン,フシギバナ,F
3,Jolteon,ギャロップ,ナゾノクサ,ドククラゲ,サイホーン,サンダース,ゴース,E
4,Fearow,ナッシー,クサイハナ,ケーシィ,アズマオウ,オニドリル,イシツブテ,E
5,Exeggutor,アーボ,ナッシー,ピクシー,カビゴン,ベトベター,ニョロゾ,B
6,Zapdos,ヒトカゲ,サイホーン,ロコン,コクーン,サンダー,オニドリル,E
7,Ekans,アーボ,ジュゴン,ロコン,オニスズメ,プクリン,ブースター,A
8,Metapod,カビゴン,トランセル,ウツドン,クサイハナ,サイホーン,アーボ,B
9,Victreebel,ゴース,オニドリル,カメックス,ウツボット,ゴローン,ナッシー,D
10,Gloom,ウツドン,キュウコン,アーボ,クサイハナ,ベロリンガ,サイホーン,D
11,Grimer,ガラガラ,ユンゲラー,コンパン,ベトベター,ブースター,スリープ,D
12,Weepinbell,ウツドン,ジュゴン,ナゾノクサ,クサイハナ,ケーシィ,トランセル,A
13,Graveler,ゴローン,ゴーリキー,ゴース,ブースター,プクリン,フシギソウ,A
14,Marowak,カイリキー,サンダー,ベロリンガ,ガラガラ,フシギバナ,マダツボミ,D
15,Wigglytuff,オコリザル,ウツドン,アーボ,ラフレシア,コクーン,プクリン,F
16,Geodude,ピッピ,ゴローン,ワンリキー,イシツブテ,サンダー,ラフレシア,D
17,Clefable,ウツボット,ヒトデマン,ナッシー,ピクシー,アズマオウ,サイホーン,D
18,Oddish,イシツブテ,ナゾノクサ,ギャロップ,ジュゴン,オコリザル,ワンリキー,B
19,Vulpix,キュウコン,ウツドン,ナッシー,クサイハナ,イシツブテ,ロコン,F
20,Abra,カイリキー,ゴーリキー,キュウコン,プクリン,ケーシィ,カビゴン,E
